path,category,dimensions,mode,bytes,reference_state,asset_visual,technical_debt,project_fit,recommended_action
images/artifact/feature-green.png,artifact,1254x1254,RGBA,916711,runtime_reachable,pass,hidden_rgb_in_alpha0,active,lossless_alpha_rgb_sanitize
images/artifact/prd-blue.png,artifact,1254x1254,RGBA,915734,runtime_reachable,pass,hidden_rgb_in_alpha0,active,lossless_alpha_rgb_sanitize
images/artifact/report-purple.png,artifact,1254x1254,RGBA,940937,configured_latent,pass,hidden_rgb_in_alpha0,valid_but_currently_latent,lossless_alpha_rgb_sanitize
images/avatars/Alice/at-desk.png,avatars,1254x1254,RGBA,941749,runtime_reachable,pass,hidden_rgb_in_alpha0,active_but_wrong_for_back_facing_workstation,sanitize_then_replace_state_mapping
images/avatars/Alice/carry-down.png,avatars,1254x1254,RGBA,243405,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Alice/carry-up.png,avatars,1254x1254,RGBA,229262,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Alice/carry.png,avatars,1254x1254,RGBA,948417,runtime_reachable,pass,hidden_rgb_in_alpha0,active,lossless_alpha_rgb_sanitize
images/avatars/Alice/idle.png,avatars,1254x1254,RGBA,1041493,configured_latent,pass,hidden_rgb_in_alpha0,valid_but_currently_latent,lossless_alpha_rgb_sanitize
images/avatars/Alice/seated-idle-back.png,avatars,1254x1254,RGBA,192900,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Alice/seated-working-back.png,avatars,1254x1254,RGBA,218455,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Alice/walk-down.png,avatars,1254x1254,RGBA,233098,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Alice/walk-up.png,avatars,1254x1254,RGBA,181085,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Alice/walk.png,avatars,1254x1254,RGBA,898349,runtime_reachable,pass,hidden_rgb_in_alpha0,active,lossless_alpha_rgb_sanitize
images/avatars/Bob/at-desk.png,avatars,1254x1254,RGBA,263085,runtime_reachable,pass,none,active_but_wrong_for_back_facing_workstation,replace_state_mapping_with_seated
images/avatars/Bob/carry-down.png,avatars,1254x1254,RGBA,291823,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Bob/carry-up.png,avatars,1254x1254,RGBA,259398,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Bob/carry.png,avatars,1254x1254,RGBA,263872,configured_latent,pass,none,valid_but_currently_latent,retain
images/avatars/Bob/idle.png,avatars,1254x1254,RGBA,251394,configured_latent,pass,none,valid_but_currently_latent,retain
images/avatars/Bob/seated-idle-back.png,avatars,1254x1254,RGBA,250433,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Bob/seated-working-back.png,avatars,1254x1254,RGBA,265762,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Bob/walk-down.png,avatars,1254x1254,RGBA,257912,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Bob/walk-up.png,avatars,1254x1254,RGBA,218069,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Bob/walk.png,avatars,1254x1254,RGBA,241058,configured_latent,pass,none,valid_but_currently_latent,retain
images/avatars/Jack/at-desk.png,avatars,1254x1254,RGBA,962476,runtime_reachable,pass,hidden_rgb_in_alpha0,active_but_wrong_for_back_facing_workstation,sanitize_then_replace_state_mapping
images/avatars/Jack/carry-down.png,avatars,1254x1254,RGBA,314499,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Jack/carry-up.png,avatars,1254x1254,RGBA,303009,documented_unwired,pass,none,usable_but_not_runtime_consumed,integrate_manifest_and_state_logic
images/avatars/Jack/carry.png,avatars,1254x1254,RGBA,1025817,runtime_reachable,pass,hidden_rgb_in_alpha0,active,lossless_alpha_rgb_sanitize
images/avatars/Jack/idle.png,avatars,1254x1254,RGBA,902577,configured_latent,pass,hidden_rgb_in_alpha0,valid_but_currently_latent,lossless_alpha_rgb_sanitize
